,Date,User-ID,Message
0,March 2002,merc1,"['personally', 'think', 'tweaks', 'c320', 'could', 'also', 'sit', 'top', 'group', 'still', 'entry-level', 'luxury', 'sedan', 'mercedes', 'would', 'lead', 'believe', 'c320', 'sport', 'needs', 'suspension', 'retuned', 'accept', '17', 'inch', 'tires', 'without', 'harsh', 'ride', 'mb', 'also', 'needs', 'stop', 'forcing', 'metal', 'trim', 'black', 'leather', 'everyone', 'wants', 'sport', 'package', 'c240s', '6-speed', 'wouldnt', 'hurt', 'either', 'offered', 'c320', 'though', 'needs', 'fixed', 'first', 'said', 'favorite', 'group', 'gasp', 'new', 'audi', '3', '0', 'audi', 'easily', 'best', 'interior', 'sub-40k', 'car', 'combine', 'stunning', 'looks', 'body', 'rigid', 'ever', 'made', 'personal', 'favorite', 'single', 'thing', 'dont', 'like', 'audi', 'grey', 'trim', 'around', 'bottom', 'car', 'trim', 'doesnt', 'match', 'body', 'colors', 'body', 'color', 'anyway', 'excellent', 'car', 'opinion', 'best', '40k', 'upcoming', 'audi', 'convertible', 'coupe', 's4', 'winners', 'bmw', '330i', 'old', 'favorite', 'im', 'people', 'starting', 'tire', 'bmw', 'bit', 'save', 'bmw', 'variants', 'kind', 'dissappointed', '2002', 'facelift', 'could', 'done', 'little', 'way', 'styling', 'hope', 'little', '2003', 'coupe', 'models', 'acura', 'tl-s', 'easily', 'favorite', 'fwd', 'car', 'class', 'wonderful', 'engine', 'actually', 'hear', 'decent', 'handling', 'front', 'driver', 'nice', 'price', 'seats', 'hard', 'see', 'tl', 'popular', 'cars', 'main', 'faults', 'styling', 'obvious', 'cost-cutting', 'interior', 'stereo', 'fake', 'wood', 'etc', 'otherwise', 'standout', 'lexus', 'es300', 'nice', 'type', 'car', 'one', 'buick', 'set', 'is300', 'half', 'baked', 'wonderful', 'chassis', 'styling', 'also', 'question', 'simply', 'doesnt', 'look', 'like', '35k', 'car', 'grown', 'interior', 'gawd-awful', 'bet', 'next', 'is300', 'done', 'right', 'start', 'defense', 'toyota', 'didnt', 'initially', 'intend', 'car', 'sold', 'u', 'rush', 'job', 'cts', 'holds', 'greatest', 'unrealized', 'potential', 'ive', 'seen', 'several', 'time', 'see', 'one', 'look', 'better', 'better', 'like', 'c320', 'is300', 'car', 'interior', 'issues', 'dash', 'feels', 'like', 'made', 'rubbermaid', 'youre', 'going', 'stingy', 'wood', 'trim', 'bother', 'half', 'steering', 'wheel', 'wood', 'little', 'anywhere', 'else', 'car', 'seats', 'good', 'though', 'handling', 'work', 'progress', 'g35', 'looks', 'like', 'may', 'winning', 'chassis', 'interior', 'though', 'clean', 'looking', 'seems', 'styled', '10', 'years', 'ago', 'lots', 'square', 'shapes', 'flat', 'surfaces', 'another', 'great', 'engine', 'waiting', 'drive', 'one', 'dont', 'really', 'care', 'much', 'x-type', 'jaguar', 'man', 'id', 'truly', 'pissed', 'ford', 'jaguar', 'one', 'actually', 'selling', 'fwd', 'x-type', 'england', 'ive', 'read', 'theyre', 'thinking', 'selling', 'hell', 'car', 'rwd', 'awd', 'tell', 'done', 'compete', 'audi', 'thats', 'bs', 'awd', 'way', 'keep', 'car', 'fwd', 'without', 'spending', 'money', 'convert', 'car', 'rwd', 'good', 'looking', 'car', 'though', 'jaguar', 'leaper', 'enough', 'car', 'grow', 'chrysler', 'chrysler', 'close', 'audi', 'american', 'cars', 'come', 'new', 'chrysler', 'special', 'truly', 'good', 'looking', 'car', 'inside', 'one', 'problem', 'performance', '255hp', 'car', 'class', '0-60', 'time', '8', 'seconds', 'accpetable', 'something', 'right', 'say', 'engine', 'transmission', 'andor', 'gearing', 'whatever', 'chrysler', 'needs', 'let', 'mb', 'engineers', 'look', 'car', 'heavier', 'e320', 'less', 'power', 'faster', 'still', 'like', 'car', 'lust', 'object', 'get', 'past', 'great', 'styling']"
1,March 2002,fredvh,"['debating', 'new', 'purchase', 'two', 'top', 'list', 'price', 'difference', 'two', 'approx', '6k', 'non-type', 'acura', 'es300', 'worth', '6k', 'tl', 'dont', 'know', 'never', 'owned', 'tl', 'familiar', 'es300previous', 'generation', 'supposedly', '2002', 'es300', 'lot', 'better', 'previous', 'generation', 'much', 'better', 'tl', 'great', 'importance', 'initial', 'quality', 'overall', 'dependability', 'tl', 'compare', 'es300', 'categorys', 'familiar', 'honda', 'co', 'prices', 'lower', 'lexus', 'service', 'work', 'would', 'appreciate', 'input', 'dilemma', 'tl', 'owners']"
2,March 2002,blueguydotcom,"['great', 'handling', 'rwd', 'excellent', 'engine', 'best', 'warranty', 'around', 'easy', 'winner']"
3,March 2002,hungrywhale,"['manual', 'tranny', 'may', 'matter', 'certainly', 'matter', 'many', 'enthusiast', 'drivers', 'imo', 'even', 'board', 'let', 'alone', 'easy', 'winner']"
4,March 2002,riez,"['one', 'beauty', 'bmw', '3', 'series', 'many', 'models', 'choose', 'almost', 'half', 'buyers', 'america', 'dont', 'get', 'basic', 'rwd', '4', 'door', 'sedan', 'besides', '3', 'engine', '3', 'transmission', 'choices', 'get', 'coupe', 'convertible', 'awd', 'station', 'wagon', 'super-high', 'performance', 'm-serieshungrywhale', 'concur', 'availability', 'manual', 'transmission', 'across', 'line', 'absolutely', 'critical']"
5,March 2002,blueguydotcom,"['good', 'grief', 'wait', '9', 'months', 'manual', 'even', 'auto', 'prefer', 'every', 'car', 'listed', 'never', 'owned', 'auto', 'never', 'thought', 'id', 'enjoy', 'driving', 'car', 'auto', 'thats', 'value', 'performance', 'exceptional', 'engine', 'car', 'g', 'stick', 'another', 'sedan', 'bmw', 'id', 'consider']"
6,March 2002,hungrywhale,"['ill', 'give', 'fair', 'shot', 'manual', 'comes', 'im', 'flat-out', 'interested', 'auto', 'dont', 'care', 'fast', 'speed', 'driving', 'experience', 'control', 'car']"
7,March 2002,blueguydotcom,"['understand', 'speed', 'really', 'dont', 'care', 'car', 'wont', '100', 'rarely', 'break', 'toyota', 'mark', 'care', 'power', 'manual', 'mode', 'auto', 'get', 'want', 'buy', 'auto-equipped', 'g', 'likelihood', 'desperately', 'want', 'drive', '6', 'speed']"
8,March 2002,hungrywhale,"['sounds', 'like', 'know', 'wont', 'even', 'put', 'list', 'let', 'alone', 'top', 'manual', 'comes']"
9,March 2002,riez,"['thing', 'automatic-only', 'true', 'performance', 'sedan', 'book', 'certainly', 'europe', 'asia', 'america', 'oxymoron', 'possible', 'sad', 'manual', 'g35', 'comes', 'coupe', 'version', 'g35', 'interesting', 'enough', 'serious', 'contender', 'segment']"
10,March 2002,wishnhigh1,"['rank', 'entry', 'lux', 'performance', 'sedans', 'would', 'chooseaudi', 'audi', '3', '0lots', 'bang', 'buck', 'loads', 'style', 'loads', 'luxurycadillac', 'cts', 'decent', 'btfb', 'good', 'handling', 'non-lemming', 'styleinfinity', 'g35tons', 'bftb', 'good', 'luxury', 'completely', 'boring', 'exterior', 'even', 'boring', 'interiorbmw', '325very', 'little', 'bftb', 'excellent', 'handlingbuild', 'qualityresale', 'classy', 'looking', 'conservative', 'mesaab', 'viggenalmost', 'zero', 'bftb', 'spotty', 'build', 'quality', 'damn', 'coolest', 'style', 'world', 'everything', 'else', 'worth', 'time']"
11,March 2002,shipo,"['hey', 'friend', 'dig', 'australia', 'bmw', 'manual', 'gearbox', 'bmw', 'yeah', 'right', '525i', '530i', 'bmw', '540i', 'automatic', '-best', 'regards', 'shipo']"
